Shoulder_q1,Elbow_q2
49.8706483844009,-116.3829169351106
49.88930719201663,-116.26371369408366
49.93452579612989,-115.97483113116625
50.0123825581282,-115.47743716274164
50.12483312471881,-114.75903798799403
50.27034469172576,-113.8294260454007
50.44453026788677,-112.71662796922409
50.640782938650204,-111.46285254600414
50.85091012997206,-110.1204386710504
51.06576787211287,-108.74780330493405
51.275895063434724,-107.4053894299803
51.47214773419816,-106.15161400676038
51.646333310359175,-105.03881593058378
51.791844877366124,-104.10920398799041
51.90429544395674,-103.3908048132428
51.98215220595503,-102.8934108448182
52.027370810068305,-102.60452828190081
52.04602961768404,-102.48532504087387
52.0489639686669,-102.46657871181195
52.04894846860764,-102.46656709179308
52.048948468607996,-102.46656709179078
51.4246831425503,-102.6327923258828
50.793090555589316,-102.78529838547196
50.15436678324258,-102.92406182268914
49.50871062244657,-103.04906066099942
49.50871056327386,-103.04906048928186
50.50910302023108,-103.88220370084557
50.509102155358775,-103.88220304768225
51.244500264381195,-104.83948677197587
51.244500017926576,-104.83948659433771
51.98491498789104,-105.78168150643737
51.98491473040987,-105.7816813228933
52.452117594260734,-106.85908965056919
52.452117590333586,-106.85908960444449
52.68685182441384,-107.40139021158708
52.920505207723,-107.94187219397868
53.15308723327014,-108.4805673999453
53.15308723320623,-108.48056739711014
52.833106623157974,-109.42147194800626
52.833106916196776,-109.42147079037284
52.4901297059767,-110.34667529339497
52.49013002254479,-110.34667411678561
51.10435884994381,-110.55478454906861
51.104358057193,-110.5547822868645
50.03409851575566,-110.67714811306512
50.034098149716556,-110.67714738683492
49.20430126226974,-110.15839275878534
49.204300824158864,-110.15839248934236
48.37753014473722,-109.62731004779998
48.377529712858475,-109.62730977730904
47.97934598361417,-109.05537003325826
47.5816618852722,-108.48046063286293
47.18442780715612,-107.90255421750264
47.18442778507946,-107.90255420353522
46.6770297303379,-107.1605221821187
46.67702967172809,-107.16052214442725
46.29080479555081,-106.5804731080591
45.90479823710629,-105.99744721285568
45.51896392226708,-105.41141080031667
45.1332558263971,-104.82232868008178
45.13325580780576,-104.82232866742655
44.334517877832596,-104.33058299189744
43.53732089249502,-103.82644203838811
43.53732054122047,-103.82644178740279
42.74167086182002,-103.30994889813353
41.947565768237034,-102.78114205636184
41.94756542184328,-102.78114180112294
41.2066739415378,-102.74170259017104
40.46102282686783,-102.68705920607341
39.710840008879536,-102.61722159947203
39.710839814270145,-102.61722140095435
38.85024940123875,-102.51907113525502
37.984387583368914,-102.40120608384589
37.1135763073932,-102.26365292698426
37.11357592764315,-102.2636525782926
36.7495804380078,-102.67913893678067
36.37742855609468,-103.08582249034912
35.99716351541617,-103.48368097550741
35.99716354905371,-103.48368082489333
35.61067525523081,-103.87308919770697
35.216195292349326,-104.2536709822058
34.81377539065966,-104.62539900543665
34.81377542521611,-104.6253988626724
34.943292026892486,-105.14334647446158
35.07070222823748,-105.65952795490534
35.19599670742105,-106.17397217001901
35.319165356106886,-106.6867073598519
35.44019727151553,-107.19776116803202
35.440197274106204,-107.19776115795119
35.6852183436746,-108.25623558749946
35.68521839278814,-108.25623539970898
36.26347513896066,-109.47193846764658
36.26347510316204,-109.47193841196219
36.83781233478758,-110.67852345095754
36.837812301429814,-110.678523400703
37.29746061509108,-111.37211099060994
37.757749325022814,-112.06174889619786
37.757749286666396,-112.0617488743945
38.64843025316328,-112.23593649049286
39.53685008124912,-112.39295186473511
40.422687164375795,-112.53273840686057
41.30561001420835,-112.65524475932821
41.305609632020584,-112.65524454173347
40.664603663872214,-111.9982694742271
40.02647500733852,-111.33455030374155
40.026474839392534,-111.33455019380739
39.25075034918034,-110.1055299820479
39.25075003378493,-110.10552980151509
38.48147954241332,-108.86559449416788
38.48147924560177,-108.8655943173081
38.18393862841498,-107.71673220328698
38.18393869679339,-107.71673196500105
37.979627585239065,-106.9450428534923
37.77085065278141,-106.16962446765366
37.77085066506482,-106.16962442200158
38.311531004040354,-105.46213819409647
38.31153127215216,-105.46213720011292
38.82987513598715,-104.73073567547333
38.8298753944991,-104.73073465508438
40.20429468252683,-104.90187117200608
40.204292373312455,-104.90186929029488
41.46408112175819,-105.01726245766666
41.46407955538748,-105.01726110566557
42.33295558153406,-105.67401960250723
42.33295508133599,-105.67401924339987
43.20355692378437,-106.31300228536129
43.2035564175821,-106.31300192835302
43.53026175792061,-106.83344561022844
43.85698950027799,-107.35167457916616
44.18376927262958,-107.86771286078347
44.510630749165436,-108.38158362993602
44.510630740066325,-108.38158362438233
45.01963063046081,-109.14634463566455
45.019630575150785,-109.14634460185692
45.34107566511055,-109.65380386013088
45.66265806108735,-110.15921886969478
45.98440673195014,-110.66260947093163
46.30635078340145,-111.16399476176807
46.30635077454566,-111.1639947567647
47.108324830817125,-111.60499575837854
47.91272236258763,-112.03421952052152
47.912721989273436,-112.03421930496923
48.71885277433628,-112.44972492337942
49.52729231213053,-112.853296601919
49.52729193372447,-112.85329639158294
50.658692666537874,-112.76403413081422
51.776440144924294,-112.64227464502603
51.77643963892481,-112.64227392726444
52.672434169099695,-112.51969430840441
53.55831716232962,-112.37584437578765
54.43359449897212,-112.21078958295865
54.43359438539105,-112.21078924399026
54.71855824425765,-111.68151740793014
54.994139198295315,-111.1456028209351
55.260390180605675,-110.60307173133
55.260390239048796,-110.60307154254129
55.519035992120735,-110.05350415951764
55.7684156952285,-109.49731960023507
56.0085849409369,-108.93453482814978
56.00858499273969,-108.93453464049549
55.78564231821507,-108.4531762721791
55.562004183951316,-107.97036578181066
55.33766116058723,-107.48608105530249
55.1126036050437,-107.00029953399552
54.88682165554796,-106.51299820287802
54.88682165468667,-106.51299820085426
54.32621171245619,-105.30321928245921
54.326211675546595,-105.30321919564061
53.610545041298835,-104.29211742088776
